Warning,Advertencia
Cancel,Cancelar
Ok,Ok
"Insert Widget...","Insertar Widget..."
"No records found.","No se han encontrado registros."
"Recent items","Artículos recientes"
"Show all...","Mostrar todas..."
"Method %s does not exist on jQuery.decorate","El método %s no existe en jQuery.decorar"
Close,Cerrar
Next,Siguiente
Previous,Previous
"Please wait...","Por favor, espere..."
Loading...,Cargando...
"All ",Todos
more,Más
Save,Guardar
Translate,Traducir
Submit,Enviar
"Please enter a value less than or equal to %s.","Introduzca un valor inferior o igual a %s."
"Please enter a value greater than or equal to %s.","Introduzca un valor mayor que o igual a %s."
"Maximum length of this field must be equal or less than %1 symbols.","Longitud máxima de este campo debe ser igual o menor que %1 símbolos."
"This is a required field.","Este es un campo obligatorio."
"Please enter a date between %min and %max.","Introduzca una fecha entre %min y %max."
"Please enter a valid year (1900-%1).","Introduzca un año válido (1900-%1)."
"Please enter a valid day (1-%1).","Introduzca un día válido (1-%1)."
"Please enter a date from the past.","Introduzca una fecha desde el pasado."
"Show Toolbar","Mostrar barra de herramientas"
